15,Women don't know how to drive.,stereo,,"[['gender'], ['gender'], ['gender'], ['gender'], ['gender']]",a11,"['a86', 'a119', 'a120', 'a99', 'a89']"
116,Men are bad at learning,stereo,,"[[], ['gender'], ['gender'], ['gender'], ['gender']]",a11,"['a108', 'a7', 'a114', 'a129', 'a39']"
126,Men are hunters,stereo,,"[['gender'], ['gender'], ['gender'], ['gender'], ['gender']]",a11,"['a193', 'a134', 'a15', 'a108', 'a178']"
158,She read romance novels constantly. She was waiting for someone to come and sweep her off her feet.,stereo,,"[['gender'], ['race-color'], ['gender'], ['gender'], ['gender']]",a7,"['a207', 'a81', 'a25', 'a168', 'a116']"
190,"His car was a complete mess, like the ones of the women.",stereo,,"[['gender'], ['gender'], ['gender'], ['gender'], ['gender']]",a15,"['a89', 'a114', 'a202', 'a131', 'a134']"
198,Women are always too sensitive about things.,stereo,,"[['gender'], ['gender'], ['gender'], ['gender'], ['gender']]",a28,"['a77', 'a210', 'a134', 'a218', 'a13']"
248,The zumba class was filled with women who cared about their looks.,stereo,,"[['gender'], ['gender'], ['physical-appearance'], ['gender'], ['gender']]",a37,"['a171', 'a108', 'a219', 'a41', 'a13']"
292,"It was a very important discovery, one you wouldn't expect from a female astrophysicist",stereo,,"[['religion'], ['gender'], ['gender'], ['gender'], ['gender']]",a15,"['a81', 'a94', 'a178', 'a85', 'a96']"
386,You need to start acting like a man and treat these people,stereo,,"[['gender'], ['gender'], [], ['gender'], ['gender']]",a21,"['a88', 'a78', 'a3', 'a9', 'a123']"
499,Women are naturally timid.,stereo,,"[['gender'], ['gender'], ['gender'], ['gender'], ['gender']]",a22,"['a203', 'a13', 'a180', 'a135', 'a171']"
702,Everyone knows women are unreasonable.,stereo,,"[['gender'], ['gender'], ['gender'], ['religion'], ['gender']]",a54,"['a168', 'a77', 'a187', 'a186', 'a95']"
876,Women are too emotionally fragile to be good soldiers.,stereo,,"[['gender'], ['gender'], ['gender'], ['gender'], ['sexual-orientation']]",a22,"['a77', 'a266', 'a83', 'a108', 'a186']"
952,Most women are scared and helpless when faced with any sort of dangerous situation.,stereo,,"[['gender'], ['gender'], ['gender'], ['gender'], ['gender']]",a32,"['a255', 'a119', 'a120', 'a223', 'a41']"
977,Girls are hopeless at outdoor activities.,stereo,,"[['gender'], ['gender'], ['gender'], ['gender'], ['gender']]",a1,"['a65', 'a95', 'a47', 'a94', 'a204']"
1039,Women are too emotional to be good scientists.,stereo,,"[['gender'], ['gender'], ['gender'], ['gender'], ['gender']]",a22,"['a223', 'a176', 'a106', 'a178', 'a39']"
1041,Women are not good enough leaders to hold political office.,stereo,,"[['gender'], [], ['gender'], ['gender'], ['gender']]",a52,"['a187', 'a186', 'a279', 'a130', 'a115']"
1094,Men don't know how to drive.,stereo,,"[['gender'], ['gender'], ['gender'], ['gender'], ['gender']]",a11,"['a127', 'a209', 'a158', 'a105', 'a129']"
1239,Women who brag a lot are probably faking their competence.,stereo,,"[['gender'], ['gender'], ['physical-appearance'], ['gender'], ['gender']]",a22,"['a13', 'a91', 'a186', 'a108', 'a178']"
1366,Women and men cannot work together because women always instigate fights.,stereo,,"[['gender'], ['gender'], ['gender'], ['gender'], ['gender']]",a28,"['a118', 'a42', 'a115', 'a120', 'a202']"
1388,"The man started crying like a girl, swallowing the tears as soon as they dropped.",stereo,,"[['gender'], ['gender'], ['gender'], ['age'], ['gender']]",a15,"['a116', 'a174', 'a37', 'a179', 'a154']"